Id,Creation Time,Owner,Monitoring Time,Tags,a_tilde_ideal,a_tilde_ideal_std,a_tilde_real,a_tilde_real_std,VAL_RMSE (real),NTrees (real)
JBDT-32,2021-09-08 14:50:27,arsde,7693,"[""xgb"",""16 opt features"",""MSE"",""5M""]",2.8166052670945927,0.0311435970394557,2.924559710879571,0.0205162787139292,0.081041,751.0
JBDT-29,2021-09-08 03:22:01,arsde,38196,"[""5M"",""xgb"",""MSE"",""15 opt features""]",2.8110514407424136,0.0320666609408222,2.936944569190913,0.0190817840077455,0.081126,704.0
JBDT-28,2021-09-08 01:16:46,arsde,8103,"[""MSE"",""14 opt features"",""xgb"",""5M""]",2.808947710442471,0.0302287921638858,2.9500129868358207,0.0129857350709121,0.081114,701.0
JBDT-25,2021-09-07 20:57:04,arsde,10583,"[""13 opt features"",""5M"",""MSE"",""xgb""]",2.810578054422257,0.0299092643631085,2.939649514079017,0.0140356091089529,0.081185,782.0
JBDT-23,2021-09-07 19:12:10,arsde,8144,"[""5M"",""xgb"",""MSE"",""12 opt features""]",2.810584962356591,0.0304156045488114,2.937466630023225,0.0153472368269277,0.08123,718.0
JBDT-22,2021-09-07 17:37:30,arsde,7817,"[""5M"",""xgb"",""11 opt features"",""MSE""]",2.8133179059608606,0.0285367730111101,2.9423662943284272,0.0169013660473704,0.081551,686.0
JBDT-21,2021-09-07 15:45:52,arsde,8658,"[""xgb"",""MSE"",""5M"",""10 opt features""]",2.8231629302300285,0.0292483964215973,2.9542370267126503,0.0117335379260778,0.081622,752.0
JBDT-20,2021-09-07 14:02:43,arsde,8217,"[""MSE"",""9 opt features"",""xgb"",""5M""]",2.848979293646235,0.0282193181122606,2.9726011572358644,0.0143228865973277,0.081839,877.0
JBDT-17,2021-09-07 02:37:24,arsde,39404,"[""MSE"",""8 opt features"",""xgb"",""5M""]",2.854273399768319,0.0233312898633686,2.9904284485044945,0.0179292302101674,0.08191,705.0
JBDT-14,2021-09-06 23:27:45,arsde,9810,"[""5M"",""MSE"",""xgb"",""7 opt features""]",2.866579008155889,0.0254279313580097,2.9963922844814563,0.0195402184521227,0.082344,649.0
JBDT-12,2021-09-06 14:27:21,arsde,8253,"[""6 opt features"",""xgb"",""MSE"",""5M""]",2.8652506037866914,0.0300956875788168,2.996735205290084,0.0160566161826384,0.082379,701.0
JBDT-11,2021-09-06 12:56:46,arsde,9158,"[""5M"",""xgb"",""MSE"",""5 opt features""]",2.8559801383456787,0.0258941183719715,3.0650306891815946,0.0173461304876323,0.082727,561.0
JBDT-41,2022-07-28 17:01:33,arsde,4004,"[""4 opt features"",""MSE"",""xgb"",""5M""]",2.9124297935744305,0.0224399407119333,3.1010984445031733,0.01526547520865,0.083741,508.0
JBDT-40,2022-07-28 16:39:52,arsde,1296,"[""5M"",""MSE"",""xgb"",""3 opt features""]",3.147365681109362,0.0167436237498154,3.450010443824772,0.0227492975566557,0.093547,126.0
JBDT-39,2022-07-28 16:17:11,arsde,1356,"[""MSE"",""5M"",""2 opt features"",""xgb""]",3.6262711082632806,0.0216605995605505,3.870649362833064,0.0159891316319232,0.122381,114.0
JBDT-38,2022-07-28 15:45:10,arsde,1915,"[""5M"",""MSE"",""1 opt feature"",""xgb""]",8.006458334525947,0.333923318287619,8.301381515296114,0.2170312962699881,0.294627,118.0
JBDT-4,2021-08-31 12:04:44,arsde,0,"[""xgb"",""5M"",""MSE"",""all features""]",2.816741962023678,0.0331234541912553,2.925164443668082,0.0177025460927107,0.080723,699.0
