PMTID,x,y,z,R,theta,phi
0,-930.2976,-111.8724,19365.0,19387.65571332562,0.0,0.0
1,-492.5657,-797.0872,19365.0,19387.655711127645,0.0,0.0
2,316.0782,-882.0791,19365.0,19387.65571097166,0.0,0.0
3,886.7088,-302.8474,19365.0,19387.65571294488,0.0,0.0
4,789.6295,504.4345,19365.0,19387.65570955036,0.0,0.0
5,97.9432,931.867,19365.0,19387.6557112023,0.0,0.0
6,-667.4964,657.5846,19365.0,19387.65571053319,0.0,0.0
7,-1288.7835,-507.2101,19365.0,19414.46496804417,0.0,0.0
8,-1001.8845,-956.3302,19365.0,19414.467929942664,0.0,0.0
9,-406.9906,-1323.8518,19365.0,19414.464966535947,0.0,0.0
10,123.0243,-1379.567,19365.0,19414.467932083007,0.0,0.0
11,781.2746,-1143.6061,19365.0,19414.4649659104,0.0,0.0
12,1155.2933,-763.9616,19365.0,19414.467928204973,0.0,0.0
13,1381.224,-102.2017,19365.0,19414.464966247688,0.0,0.0
14,1317.6029,426.9224,19365.0,19414.46793341785,0.0,0.0
15,941.0836,1016.1627,19365.0,19414.464967519973,0.0,0.0
16,487.7306,1296.3251,19365.0,19414.46792737484,0.0,0.0
17,-207.712,1369.3359,19365.0,19414.4649702734,0.0,0.0
18,-709.4128,1189.5686,19365.0,19414.46792922509,0.0,0.0
19,-1200.0962,691.3712,19365.0,19414.464968817552,0.0,0.0
20,-1372.3538,187.0427,19365.0,19414.46792791391,0.0,0.0
21,-1899.4476,-328.7124,19338.1592,19433.999955531646,5.6926,189.8182
22,-1729.8977,-850.5334,19338.1592,19433.999957845157,5.6926,206.1818
23,-1420.2017,-1303.4493,19338.1592,19433.99995345523,5.6926,222.5455
24,-800.7875,-1753.4801,19338.1592,19433.999956925923,5.6926,245.4545
25,-274.3375,-1908.0597,19338.1592,19433.999951816782,5.6926,261.8182
26,274.3375,-1908.0597,19338.1592,19433.999951816782,5.6926,278.1818
27,800.7874,-1753.4801,19338.1592,19433.99995280537,5.6926,294.5455
28,1420.2017,-1303.4493,19338.1592,19433.99995345523,5.6926,317.4545
29,1729.8977,-850.5334,19338.1592,19433.999957845157,5.6926,333.8182
30,1899.4476,-328.7124,19338.1592,19433.999955531646,5.6926,350.1818
31,1915.1156,219.739,19338.1592,19433.99995456491,5.6926,6.5455
32,1678.5204,947.9041,19338.1592,19433.99995267463,5.6926,29.4545
33,1343.4731,1382.4012,19338.1592,19433.999956075168,5.6926,45.8182
34,899.5856,1704.9043,19338.1592,19433.999952877184,5.6926,62.1818
35,382.8191,1889.2862,19338.1592,19433.99994991715,5.6926,78.5455
36,-382.8191,1889.2863,19338.1592,19433.999959638702,5.6926,101.4545
37,-899.5856,1704.9043,19338.1592,19433.999952877184,5.6926,117.8182
38,-1343.4731,1382.4012,19338.1592,19433.999956075168,5.6926,134.1818
39,-1678.5204,947.9042,19338.1592,19433.999957552187,5.6926,150.5455
40,-1915.1156,219.739,19338.1592,19433.99995456491,5.6926,173.4545
41,-2457.2607,0.0,19278.0244,19433.999972078826,7.264,180.0
42,-2395.6521,-546.792,19278.0244,19433.9999805108,7.264,192.8571
43,-2213.9154,-1066.1656,19278.0244,19433.999980754757,7.264,205.7143
44,-1921.1637,-1532.0771,19278.0244,19433.99997348815,7.264,218.5714
45,-1532.0769,-1921.1639,19278.0244,19433.999977492334,7.264,231.4286
46,-1066.1654,-2213.9155,19278.0244,19433.99998117456,7.264,244.2857
47,-546.7917,-2395.6521,19278.0244,19433.999972070047,7.264,257.1429
48,0.0,-2457.2607,19278.0244,19433.999972078826,7.264,270.0
49,546.792,-2395.6521,19278.0244,19433.9999805108,7.264,282.8571
50,1066.1655,-2213.9154,19278.0244,19433.99997526867,7.264,295.7143
51,1532.0771,-1921.1638,19278.0244,19433.99998337373,7.264,308.5714
52,1921.1639,-1532.077,19278.0244,19433.999985375824,7.264,321.4286
53,2213.9155,-1066.1654,19278.0244,19433.99998117456,7.264,334.2857
54,2395.6521,-546.7918,19278.0244,19433.99997488363,7.264,347.1429
55,2457.2607,0.0,19278.0244,19433.999972078826,7.264,0.0
56,2395.6521,546.7919,19278.0244,19433.99997769721,7.264,12.8571
57,2213.9154,1066.1655,19278.0244,19433.99997526867,7.264,25.7143
58,1921.1638,1532.077,19278.0244,19433.99997549024,7.264,38.5714
59,1532.077,1921.1638,19278.0244,19433.99997549024,7.264,51.4286
60,1066.1654,2213.9154,19278.0244,19433.999969782588,7.264,64.2857
61,546.7918,2395.6521,19278.0244,19433.99997488363,7.264,77.1429
62,0.0,2457.2607,19278.0244,19433.999972078826,7.264,90.0
63,-546.7919,2395.652,19278.0244,19433.999965370094,7.264,102.8571
64,-1066.1654,2213.9152,19278.0244,19433.99994699865,7.264,115.7143
65,-1532.077,1921.1636,19278.0244,19433.99995571908,7.264,128.5714
66,-1921.1638,1532.0768,19278.0244,19433.999959723267,7.264,141.4286
67,-2213.9154,1066.1653,19278.0244,19433.999964296505,7.264,154.2857
68,-2395.6521,546.7917,19278.0244,19433.999972070047,7.264,167.1429
69,-2981.9868,-133.9211,19203.3897,19434.000002739154,8.8354,182.5714
70,-2910.1525,-664.2232,19203.3897,19434.000000070508,8.8354,192.8571
71,-2744.7835,-1173.1766,19203.3897,19433.9999939983,8.8354,203.1429
72,-2491.1949,-1644.4233,19203.3897,19433.99999972818,8.8354,213.4286
73,-2157.5373,-2062.8167,19203.3897,19433.99999765247,8.8354,223.7143
74,-1754.5346,-2414.9096,19203.3897,19434.00000022732,8.8354,234.0
75,-1295.1397,-2689.3852,19203.3897,19433.99998884844,8.8354,244.2857
76,-794.118,-2877.4219,19203.3897,19434.00000408021,8.8354,254.5714
77,-267.5727,-2972.9758,19203.3897,19434.000005846377,8.8354,264.8571
78,267.5725,-2972.9758,19203.3897,19434.00000309272,8.8354,275.1429
79,794.1177,-2877.4219,19203.3897,19433.99999182152,8.8354,285.4286
80,1295.1395,-2689.3854,19203.3897,19434.00000319696,8.8354,295.7143
81,1754.5344,-2414.9097,19203.3897,19433.99999459719,8.8354,306.0
82,2157.537,-2062.817,19203.3897,19433.999996190287,8.8354,316.2857
83,2491.1948,-1644.4234,19203.3897,19433.999995371018,8.8354,326.5714
84,2744.7834,-1173.1769,19203.3897,19433.99999798485,8.8354,336.8571
