PMTID,CdID
0,268435456
1,268435712
2,268435968
3,268436224
4,268436480
5,268436736
6,268436992
7,268437248
8,268437504
9,268437760
10,268438016
11,268438272
12,268438528
13,268438784
14,268439040
15,268439296
16,268439552
17,268439808
18,268440064
19,268440320
20,268440576
21,268440832
22,268441088
23,268441344
24,268441600
25,268441856
26,268442112
27,268442368
28,268442624
29,268442880
30,268443136
31,268443392
32,268443648
33,268443904
34,268444160
35,268444416
36,268444672
37,268444928
38,268445184
39,268445440
40,268445696
41,268445952
42,268446208
43,268446464
44,268446720
45,268446976
46,268447232
47,268447488
48,268447744
49,268448000
50,268448256
51,268448512
52,268448768
53,268449024
54,268449280
55,268449536
56,268449792
57,268450048
58,268450304
59,268450560
60,268450816
61,268451072
62,268451328
63,268451584
64,268451840
65,268452096
66,268452352
67,268452608
68,268452864
69,268453120
70,268453376
71,268453632
72,268453888
73,268454144
74,268454400
75,268454656
76,268454912
77,268455168
78,268455424
79,268455680
80,268455936
81,268456192
82,268456448
83,268456704
84,268456960
85,268457216
86,268457472
87,268457728
88,268457984
89,268458240
90,268458496
91,268458752
92,268459008
93,268459264
94,268459520
95,268459776
96,268460032
97,268460288
98,268460544
99,268460800
100,268461056
101,268461312
102,268461568
103,268461824
104,268462080
105,268462336
106,268462592
107,268462848
108,268463104
109,268463360
110,268463616
111,268463872
112,268464128
113,268464384
114,268464640
115,268464896
116,268465152
117,268465408
118,268465664
119,268465920
120,268466176
121,268466432
122,268466688
123,268466944
124,268467200
125,268467456
126,268467712
127,268467968
128,268468224
129,268468480
130,268468736
131,268468992
132,268469248
133,268469504
134,268469760
135,268470016
136,268470272
137,268470528
138,268470784
139,268471040
140,268471296
141,268471552
142,268471808
143,268472064
144,268472320
145,268472576
146,268472832
147,268473088
148,268473344
149,268473600
150,268473856
151,268474112
152,268474368
153,268474624
154,268474880
155,268475136
156,268475392
157,268475648
158,268475904
159,268476160
160,268476416
161,268476672
162,268476928
163,268477184
164,268477440
165,268477696
166,268477952
167,268478208
168,268478464
169,268478720
170,268478976
171,268479232
172,268479488
173,268479744
174,268480000
175,268480256
176,268480512
177,268480768
178,268481024
179,268481280
180,268481536
181,268481792
182,268482048
183,268482304
184,268482560
185,268482816
186,268483072
187,268483328
188,268483584
189,268483840
190,268484096
191,268484352
192,268484608
193,268484864
194,268485120
195,268485376
196,268485632
197,268485888
198,268486144
199,268486400
200,268486656
201,268486912
202,268487168
203,268487424
204,268487680
205,268487936
206,268488192
207,268488448
208,268488704
209,268488960
210,268489216
211,268489472
212,268489728
213,268489984
214,268490240
215,268490496
216,268490752
217,268491008
218,268491264
219,268491520
220,268491776
221,268492032
222,268492288
223,268492544
224,268492800
225,268493056
226,268493312
227,268493568
228,268493824
229,268494080
230,268494336
231,268494592
232,268494848
233,268495104
234,268495360
235,268495616
236,268495872
237,268496128
238,268496384
239,268496640
240,268496896
241,268497152
242,268497408
243,268497664
244,268497920
245,268498176
246,268498432
247,268498688
248,268498944
249,268499200
250,268499456
251,268499712
252,268499968
253,268500224
254,268500480
255,268500736
256,268500992
257,268501248
258,268501504
259,268501760
260,268502016
261,268502272
262,268502528
263,268502784
264,268503040
265,268503296
266,268503552
267,268503808
268,268504064
269,268504320
270,268504576
271,268504832
272,268505088
273,268505344
274,268505600
275,268505856
276,268506112
277,268506368
278,268506624
279,268506880
280,268507136
281,268507392
282,268507648
283,268507904
284,268508160
285,268508416
286,268508672
287,268508928
288,268509184
289,268509440
290,268509696
291,268509952
292,268510208
293,268510464
294,268510720
295,268510976
296,268511232
297,268511488
298,268511744
299,268512000
300,268512256
301,268512512
302,268512768
303,268513024
304,268513280
305,268513536
306,268513792
307,268514048
308,268514304
309,268514560
310,268514816
311,268515072
312,268515328
313,268515584
314,268515840
315,268516096
316,268516352
317,268516608
318,268516864
319,268517120
320,268517376
321,268517632
322,268517888
323,268518144
324,268518400
325,268518656
326,268518912
327,268519168
328,268519424
329,268519680
330,268519936
331,268520192
332,268520448
333,268520704
334,268520960
335,268521216
336,268521472
337,268521728
338,268521984
339,268522240
340,268522496
341,268522752
342,268523008
343,268523264
344,268523520
345,268523776
346,268524032
347,268524288
348,268524544
349,268524800
350,268525056
351,268525312
352,268525568
353,268525824
354,268526080
355,268526336
356,268526592
357,268526848
358,268527104
359,268527360
360,268527616
361,268527872
362,268528128
363,268528384
364,268528640
365,268528896
366,268529152
367,268529408
368,268529664
369,268529920
370,268530176
371,268530432
372,268530688
373,268530944
374,268531200
375,268531456
376,268531712
377,268531968
378,268532224
379,268532480
380,268532736
381,268532992
382,268533248
383,268533504
384,268533760
385,268534016
